actual_default,predicted_default,default_probability,uncertainty_score,review_group
1,1,0.6270733238864312,0.7458533522271376,Uncertain - Human Review Priority
0,0,0.32782081060448953,0.6556416212089791,Uncertain - Human Review Priority
0,1,0.5340090540057268,0.9319818919885463,Uncertain - Human Review Priority
0,0,0.278602145103476,0.557204290206952,Low Risk - Auto Decision
0,0,0.3742960414369397,0.7485920828738793,Uncertain - Human Review Priority
0,0,0.31058470270984373,0.6211694054196875,Uncertain - Human Review Priority
1,1,0.7279371848972078,0.5441256302055844,High Risk - Manual Review
0,1,0.6220488985460819,0.7559022029078362,Uncertain - Human Review Priority
0,0,0.18962960707996507,0.37925921415993014,Low Risk - Auto Decision
0,0,0.4129983237188871,0.8259966474377742,Uncertain - Human Review Priority
0,1,0.700935011369393,0.5981299772612141,High Risk - Manual Review
0,1,0.5769767492567273,0.8460465014865455,Uncertain - Human Review Priority
1,0,0.40683859426758195,0.8136771885351639,Uncertain - Human Review Priority
0,0,0.3494529604571945,0.698905920914389,Uncertain - Human Review Priority
0,1,0.7138482441964975,0.572303511607005,High Risk - Manual Review
1,1,0.6111464400124378,0.7777071199751244,Uncertain - Human Review Priority
0,0,0.28707805373248135,0.5741561074649627,Low Risk - Auto Decision
0,0,0.16187054110875143,0.32374108221750286,Low Risk - Auto Decision
0,0,0.3189819014866389,0.6379638029732778,Uncertain - Human Review Priority
0,1,0.534916530454484,0.9301669390910321,Uncertain - Human Review Priority
1,1,0.6378789822254076,0.7242420355491848,Uncertain - Human Review Priority
0,0,0.0825777086554593,0.16515541731091865,Low Risk - Auto Decision
0,1,0.6737553390283181,0.6524893219433638,Uncertain - Human Review Priority
1,1,0.7424291826421504,0.5151416347156992,High Risk - Manual Review
0,0,0.1297882442420857,0.25957648848417136,Low Risk - Auto Decision
1,1,0.6147443894522101,0.7705112210955798,Uncertain - Human Review Priority
0,0,0.43142818669056315,0.8628563733811263,Uncertain - Human Review Priority
0,0,0.34769201743648687,0.6953840348729737,Uncertain - Human Review Priority
0,0,0.14065588482743305,0.28131176965486615,Low Risk - Auto Decision
0,0,0.27416463176719075,0.5483292635343815,Low Risk - Auto Decision
1,1,0.8416221697401995,0.3167556605196009,High Risk - Manual Review
0,1,0.7108915035453854,0.5782169929092291,High Risk - Manual Review
0,0,0.3161314335313243,0.6322628670626486,Uncertain - Human Review Priority
0,1,0.797903725195081,0.40419254960983797,High Risk - Manual Review
0,0,0.1942185994530579,0.3884371989061157,Low Risk - Auto Decision
0,1,0.583958307251862,0.8320833854962759,Uncertain - Human Review Priority
0,1,0.6084626394429625,0.783074721114075,Uncertain - Human Review Priority
0,0,0.19820440004781056,0.3964088000956212,Low Risk - Auto Decision
0,0,0.35644654175619206,0.7128930835123841,Uncertain - Human Review Priority
1,1,0.609110519679336,0.7817789606413279,Uncertain - Human Review Priority
1,1,0.6695537410660941,0.6608925178678118,Uncertain - Human Review Priority
0,0,0.29042217315625113,0.5808443463125023,Low Risk - Auto Decision
0,1,0.6226901424569808,0.7546197150860383,Uncertain - Human Review Priority
0,0,0.30569650248903124,0.6113930049780625,Uncertain - Human Review Priority
0,1,0.6057346178601213,0.7885307642797574,Uncertain - Human Review Priority
0,1,0.6825185969871476,0.6349628060257049,Uncertain - Human Review Priority
1,1,0.658503960689441,0.6829920786211181,Uncertain - Human Review Priority
1,1,0.5307718783045385,0.9384562433909229,Uncertain - Human Review Priority
0,0,0.33217149713167277,0.6643429942633455,Uncertain - Human Review Priority
0,0,0.23217625621364665,0.46435251242729336,Low Risk - Auto Decision
1,1,0.5656543241472195,0.868691351705561,Uncertain - Human Review Priority
1,0,0.4974751869895409,0.9949503739790818,Uncertain - Human Review Priority
1,0,0.3545752827203357,0.7091505654406715,Uncertain - Human Review Priority
0,0,0.11758832197128992,0.23517664394257987,Low Risk - Auto Decision
1,0,0.38394766195095714,0.7678953239019143,Uncertain - Human Review Priority
0,0,0.3931957837118504,0.7863915674237008,Uncertain - Human Review Priority
0,0,0.35344505689252714,0.7068901137850543,Uncertain - Human Review Priority
0,1,0.6591271289284469,0.6817457421431061,Uncertain - Human Review Priority
0,0,0.4915189479325076,0.9830378958650152,Uncertain - Human Review Priority
0,0,0.19614178426629897,0.39228356853259794,Low Risk - Auto Decision
1,0,0.35799863747207183,0.7159972749441437,Uncertain - Human Review Priority
0,0,0.20533540994902513,0.4106708198980502,Low Risk - Auto Decision
0,0,0.4131788003130699,0.8263576006261398,Uncertain - Human Review Priority
0,1,0.519136039556678,0.961727920886644,Uncertain - Human Review Priority
1,1,0.5161654716357388,0.9676690567285224,Uncertain - Human Review Priority
1,1,0.7075984913722563,0.5848030172554874,High Risk - Manual Review
0,0,0.4605967163998637,0.9211934327997274,Uncertain - Human Review Priority
0,0,0.26695223419044994,0.5339044683808999,Low Risk - Auto Decision
1,0,0.3321861328130007,0.6643722656260014,Uncertain - Human Review Priority
1,1,0.726731754034102,0.5465364919317961,High Risk - Manual Review
1,1,0.5967658742515944,0.8064682514968111,Uncertain - Human Review Priority
0,1,0.592784784021552,0.814430431956896,Uncertain - Human Review Priority
0,1,0.5865743505120297,0.8268512989759407,Uncertain - Human Review Priority
0,1,0.5919359766828317,0.8161280466343366,Uncertain - Human Review Priority
0,0,0.4984795552831991,0.9969591105663982,Uncertain - Human Review Priority
0,0,0.4875656205248483,0.9751312410496966,Uncertain - Human Review Priority
0,0,0.1480406635278042,0.2960813270556084,Low Risk - Auto Decision
0,0,0.3999427082499243,0.7998854164998486,Uncertain - Human Review Priority
1,0,0.3040637317991496,0.6081274635982992,Uncertain - Human Review Priority
0,1,0.5275899370022458,0.9448201259955085,Uncertain - Human Review Priority
0,0,0.07649239420123188,0.15298478840246377,Low Risk - Auto Decision
0,0,0.47590071978282833,0.9518014395656567,Uncertain - Human Review Priority
0,0,0.27077783235316133,0.5415556647063227,Low Risk - Auto Decision
0,1,0.5687247775441295,0.8625504449117409,Uncertain - Human Review Priority
0,0,0.4580825022126825,0.916165004425365,Uncertain - Human Review Priority
0,0,0.13628681567848314,0.2725736313569662,Low Risk - Auto Decision
0,0,0.45568593595185386,0.9113718719037077,Uncertain - Human Review Priority
0,1,0.7169334576859211,0.5661330846281578,High Risk - Manual Review
0,0,0.46223375152069973,0.9244675030413995,Uncertain - Human Review Priority
1,1,0.585474428169654,0.829051143660692,Uncertain - Human Review Priority
0,1,0.5679442684545277,0.8641114630909446,Uncertain - Human Review Priority
0,0,0.48951189622755514,0.9790237924551103,Uncertain - Human Review Priority
0,1,0.6385201104086832,0.7229597791826337,Uncertain - Human Review Priority
0,0,0.44708485489365285,0.8941697097873057,Uncertain - Human Review Priority
0,0,0.28709221062362733,0.5741844212472547,Low Risk - Auto Decision
0,0,0.058898547859616006,0.11779709571923203,Low Risk - Auto Decision
0,1,0.5050659770574648,0.9898680458850704,Uncertain - Human Review Priority
0,0,0.12765964550547493,0.25531929101094986,Low Risk - Auto Decision
0,0,0.26572837792934406,0.5314567558586881,Low Risk - Auto Decision
0,0,0.35466312828983043,0.7093262565796609,Uncertain - Human Review Priority
0,1,0.7027577020962842,0.5944845958074316,High Risk - Manual Review
0,0,0.44832968002763074,0.8966593600552615,Uncertain - Human Review Priority
0,0,0.2590312890367232,0.5180625780734464,Low Risk - Auto Decision
0,0,0.21152334394469918,0.42304668788939837,Low Risk - Auto Decision
0,0,0.312767456160887,0.625534912321774,Uncertain - Human Review Priority
1,0,0.15073371849711545,0.30146743699423095,Low Risk - Auto Decision
0,0,0.17547037797234974,0.35094075594469953,Low Risk - Auto Decision
1,1,0.5759125415500121,0.8481749168999757,Uncertain - Human Review Priority
0,0,0.3627306765366729,0.7254613530733458,Uncertain - Human Review Priority
0,1,0.6193735587427481,0.7612528825145037,Uncertain - Human Review Priority
0,0,0.13605973983773462,0.27211947967546923,Low Risk - Auto Decision
